segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
IN-EU,109,4,97.3722,-0.547177,IN,EU,:CTF*
IN-EU,109,5,97.7695,-1.24714,IN,EU,:CTF*
IN-EU,109,6,98.0354,-1.63424,IN,EU,:CTF*
IN-EU,109,7,98.3013,-2.02129,IN,EU,:CTF*
IN-EU,109,8,98.8744,-2.665,IN,EU,:CTF*
IN-EU,109,9,99.3699,-3.3115,IN,EU,:CTF*
IN-EU,109,10,99.6748,-3.72852,IN,EU,:CTF*
IN-EU,109,11,99.98,-4.14544,IN,EU,:CTF*
IN-EU,109,12,100.359,-4.65588,IN,EU,:CTF*
IN-EU,109,13,100.791,-5.30492,IN,EU,:CTF*
IN-EU,109,14,101.346,-5.98298,IN,EU,:CTF*
IN-EU,109,15,101.858,-6.55836,IN,EU,:CTF*
IN-EU,109,16,102.452,-7.19719,IN,EU,:CTF*
IN-EU,109,17,103.183,-7.62145,IN,EU,:CTF*
IN-EU,109,18,103.763,-7.86277,IN,EU,:CTF*
IN-EU,109,19,104.576,-8.16657,IN,EU,:CTF*
EU-YA,110,0,114,18.4377,EU,YA,:CRB*
EU-YA,110,1,113.759,18.863,EU,YA,:CRB*
EU-YA,110,2,113.517,19.288,EU,YA,:CRB*
EU-YA,110,3,113.274,19.7126,EU,YA,:CRB*
EU-YA,110,4,113.03,20.1369,EU,YA,:CRB*
EU-YA,110,5,112.784,20.5609,EU,YA,:CRB*
EU-YA,110,6,112.537,20.9845,EU,YA,:CRB*
EU-YA,110,7,112.288,21.4078,EU,YA,:CRB*
EU-YA,110,8,112.038,21.8307,EU,YA,:CRB*
EU-YA,110,9,111.175,22.1652,EU,YA,:CRB*
EU-YA,110,10,110.308,22.4951,EU,YA,:CRB*
EU-YA,110,11,109.436,22.8203,EU,YA,:CRB*
EU-YA,110,12,108.561,23.1408,EU,YA,:CRB*
EU-YA,110,13,107.681,23.4564,EU,YA,:CRB*
EU-YA,110,14,107.132,24.0524,EU,YA,:CRB*
EU-YA,110,15,106.578,24.6464,EU,YA,:CRB*
EU-YA,110,16,106.018,25.2383,EU,YA,:CRB*
EU-YA,110,17,105.72,25.7969,EU,YA,:CRB*
EU-YA,110,18,105.419,26.3549,EU,YA,:CRB*
EU-YA,110,19,105.182,27.1169,EU,YA,:CRB*
EU-YA,110,20,104.942,27.8784,EU,YA,:CRB*
EU-YA,110,21,105.17,28.3343,EU,YA,:CRB*
EU-YA,110,22,105.399,28.7898,EU,YA,:CRB*
EU-YA,110,23,106.262,29.2543,EU,YA,:CRB*
EU-YA,110,24,107.133,29.7132,EU,YA,:CRB*
EU-YA,110,25,108.043,30.0049,EU,YA,:CRB*
EU-YA,110,26,108.959,30.2903,EU,YA,:CRB*
EU-YA,110,27,109.88,30.5693,EU,YA,:CRB*
EU-YA,110,28,110.806,30.8418,EU,YA,:CRB*
EU-YA,110,29,111.209,31.2517,EU,YA,:CRB*
EU-YA,110,30,111.615,31.6603,EU,YA,:CRB*
EU-YA,110,31,111.633,32.2519,EU,YA,:CRB*
EU-YA,110,32,111.651,32.8434,EU,YA,:CRB*
EU-YA,110,33,112.274,33.4649,EU,YA,:CRB*
EU-YA,110,34,112.905,34.0833,EU,YA,:CRB*
EU-YA,110,35,113.25,34.469,EU,YA,:CRB*
EU-YA,110,36,113.599,34.8538,EU,YA,:CRB*
EU-YA,110,37,114.28,34.8426,EU,YA,:CRB*
EU-YA,110,38,114.96,34.8277,EU,YA,:CRB*
EU-YA,110,39,115.746,34.2128,EU,YA,:CRB*
EU-YA,110,40,116.521,33.593,EU,YA,:CRB*
EU-YA,110,41,117.284,32.9684,EU,YA,:CRB*
EU-YA,110,42,117.719,32.5725,EU,YA,:CRB*
EU-YA,110,43,118.15,32.1751,EU,YA,:CRB*
EU-YA,110,44,118.577,31.7763,EU,YA,:CRB*
EU-YA,110,45,119.001,31.376,EU,YA,:CRB*
EU-YA,110,46,119.711,31.1994,EU,YA,:CRB*
EU-YA,110,47,120.368,31.3919,EU,YA,:CRB*
EU-YA,110,48,121.027,31.581,EU,YA,:CRB*
EU-YA,110,49,121.611,31.5571,EU,YA,:CRB*
EU-YA,110,50,122.195,31.5305,EU,YA,:CRB*
EU-YA,110,51,122.78,31.5022,EU,YA,:CRB*
EU-YA,110,52,123.364,31.4713,EU,YA,:CRB*
AP-SA,111,0,-71.3068,-21.9654,AP,SA,:CCB
AP-SA,111,1,-70.6833,-21.7339,AP,SA,:CCB
AP-SA,111,2,-70.0618,-21.5,AP,SA,:CCB
AP-SA,111,3,-69.1138,-21.5,AP,SA,:CCB
AP-SA,111,4,-68.1658,-21.5,AP,SA,:CCB
AP-SA,111,5,-67.6552,-21.5,AP,SA,:CCB
AP-SA,111,6,-67.1445,-21.5,AP,SA,:CCB
AP-SA,111,7,-66.6339,-21.5,AP,SA,:CCB
AP-SA,111,8,-66.1233,-21.5,AP,SA,:CCB
AP-SA,111,9,-65.4275,-21.4652,AP,SA,:CCB
AP-SA,111,10,-64.7321,-21.4275,AP,SA,:CCB
AP-SA,111,11,-64.1386,-21.3989,AP,SA,:CCB
AP-SA,111,12,-63.5454,-21.3683,AP,SA,:CCB
AP-SA,111,13,-63.36,-20.7593,AP,SA,:CCB
AP-SA,111,14,-63.176,-20.1502,AP,SA,:CCB
